A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
15-03-2024,3,6,11,NILOUFER TEA,150,104,OATS BISCUIT,125,214,CLASSIC PIZZA - S,100,116,RED VELVET PASTRY,111,19
15-03-2024,3,6,12,NILOUFER TEA,150,64,RAGI BISCUIT,230,133,BURGER,165,95,BELGIUM CHOCLATE PASTRY,159,22
15-03-2024,3,6,13,NILOUFER TEA,150,103,COCONUT BISCUIT,150,210,BUTTER CAKE,89,123,BLACK FOREST PASTRY,111,13
15-03-2024,3,6,14,NILOUFER TEA,150,120,FRUIT PREMIUM,500,263,BURGUR BUN,170,136,BRAZILIAN COFFEE PASTRY,159,15
15-03-2024,3,6,15,NILOUFER TEA,150,61,PALMIERS,170,240,VEG ROLL,45,125,OPERA PASTRY,169.9,14
15-03-2024,3,6,16,NILOUFER TEA,150,93,CHOCOCHIP OSMANIA,165,277,ALOO PARATHA,280,69,ENGLISH FRUIT CUSTURD,193,21
15-03-2024,3,6,17,NILOUFER TEA,150,109,PLAIN KHARI,175,161,PAV BAJI,69,66,PREMIUM BUTTERSCOCH,159,30
15-03-2024,3,6,18,NILOUFER TEA,150,104,DRY FRUIT PREMIUM,725,225,VEG STICKS,220,120,EGGLESS BUTTERSCOCH,360,28
15-03-2024,3,6,19,NILOUFER TEA,150,114,CHOCO ROCKS,320,298,PANNER PIZZA,320,113,EGGLESS CHOCOCHIP CAKE,410,20
15-03-2024,3,6,20,NILOUFER TEA,150,96,GHEE BUN,80,157,MUSHROOM WRAP,450,136,EGGLESS CHOCO TRUFFLE CAKE,520,20
15-03-2024,3,6,21,NILOUFER TEA,150,85,DUM KA ROAT,600,233,MASALA FRIES,250,96,EGGLESS RASMALAI CAKE,620,12
15-03-2024,3,6,22,NILOUFER TEA,150,77,ATTA BISCUIT,180,219,SWEET CORN,20,115,TIRAMISU PASTRY,160.9,17
15-03-2024,3,6,23,NILOUFER TEA,150,130,GHEE ALMOND,220,189,VADA PAV,180,108,SWISS ROCHER PASTRY,159,14
15-03-2024,3,6,24,NILOUFER TEA,150,85,OSMANIA CLASSIC,60,184,POPCORN,25,92,CHEESE CAKE,480,22
16-03-2024,3,7,1,NILOUFER TEA,150,107,OSMANIA PREMIUM,450,224,VEG PUFF,59,94,VANILLA CAKE,169,26
16-03-2024,3,7,2,NILOUFER TEA,150,109,BUTTER ALMOND,140,169,PANEER PUFF,69,89,BUTTERSCOCH CAKE,159,16
16-03-2024,3,7,3,NILOUFER TEA,150,51,DRY FRUIT,140,291,EGG PUFF,70,67,DRY FRUITS CAKE,220,17
16-03-2024,3,7,4,NILOUFER TEA,150,72,CHOCOCHIP,100,222,ALOO SAMOSA,45,86,STRAWBERRY CAKE,250,10
16-03-2024,3,7,5,NILOUFER TEA,150,112,DOUBLE CHOCOCHIP,120,225,MASKA BUN,100,120,PINEAPPLE CAKE,111,25
16-03-2024,3,7,6,NILOUFER TEA,150,93,FRUIT BISCUIT,180,194,MALAI BUN,180,77,RASMALAI CAKE,250,10
16-03-2024,3,7,7,NILOUFER TEA,150,52,SALT BISCUIT,140,228,SANDWICH,120,146,CHOCLATE CAKE,320,14
16-03-2024,3,7,8,NILOUFER TEA,150,52,MELTING COOKIES,200,168,VEG HALEEM,320,96,CHOCO CHIPS CAKES,320,20
16-03-2024,3,7,9,NILOUFER TEA,150,98,ALMOND STICKS,400,214,ONION SAMOSA,50,137,ALMONDS CAKE,230,28
16-03-2024,3,7,10,NILOUFER TEA,150,114,MULTIGRAIN BISCUIT,210,125,FRENCHFRIES,250,124,BLUEBERRY CAKE,480,25
16-03-2024,3,7,11,NILOUFER TEA,150,51,OATS BISCUIT,125,129,CLASSIC PIZZA - S,100,74,RED VELVET PASTRY,111,29
16-03-2024,3,7,12,NILOUFER TEA,150,55,RAGI BISCUIT,230,206,BURGER,165,115,BELGIUM CHOCLATE PASTRY,159,25
16-03-2024,3,7,13,NILOUFER TEA,150,76,COCONUT BISCUIT,150,260,BUTTER CAKE,89,130,BLACK FOREST PASTRY,111,25
16-03-2024,3,7,14,NILOUFER TEA,150,98,FRUIT PREMIUM,500,155,BURGUR BUN,170,98,BRAZILIAN COFFEE PASTRY,159,29
16-03-2024,3,7,15,NILOUFER TEA,150,128,PALMIERS,170,129,VEG ROLL,45,76,OPERA PASTRY,169.9,17
16-03-2024,3,7,16,NILOUFER TEA,150,125,CHOCOCHIP OSMANIA,165,168,ALOO PARATHA,280,109,ENGLISH FRUIT CUSTURD,193,27
16-03-2024,3,7,17,NILOUFER TEA,150,62,PLAIN KHARI,175,282,PAV BAJI,69,71,PREMIUM BUTTERSCOCH,159,25
16-03-2024,3,7,18,NILOUFER TEA,150,122,DRY FRUIT PREMIUM,725,157,VEG STICKS,220,123,EGGLESS BUTTERSCOCH,360,21
16-03-2024,3,7,19,NILOUFER TEA,150,80,CHOCO ROCKS,320,162,PANNER PIZZA,320,100,EGGLESS CHOCOCHIP CAKE,410,21
16-03-2024,3,7,20,NILOUFER TEA,150,102,GHEE BUN,80,194,MUSHROOM WRAP,450,140,EGGLESS CHOCO TRUFFLE CAKE,520,16
16-03-2024,3,7,21,NILOUFER TEA,150,50,DUM KA ROAT,600,281,MASALA FRIES,250,92,EGGLESS RASMALAI CAKE,620,17
16-03-2024,3,7,22,NILOUFER TEA,150,50,ATTA BISCUIT,180,243,SWEET CORN,20,125,TIRAMISU PASTRY,160.9,12
16-03-2024,3,7,23,NILOUFER TEA,150,70,GHEE ALMOND,220,187,VADA PAV,180,102,SWISS ROCHER PASTRY,159,21
16-03-2024,3,7,24,NILOUFER TEA,150,114,OSMANIA CLASSIC,60,144,POPCORN,25,60,CHEESE CAKE,480,13
17-03-2024,3,1,1,NILOUFER TEA,150,122,OSMANIA PREMIUM,450,214,VEG PUFF,59,122,VANILLA CAKE,169,14
17-03-2024,3,1,2,NILOUFER TEA,150,57,BUTTER ALMOND,140,101,PANEER PUFF,69,150,BUTTERSCOCH CAKE,159,19
17-03-2024,3,1,3,NILOUFER TEA,150,104,DRY FRUIT,140,136,EGG PUFF,70,133,DRY FRUITS CAKE,220,24
17-03-2024,3,1,4,NILOUFER TEA,150,113,CHOCOCHIP,100,281,ALOO SAMOSA,45,129,STRAWBERRY CAKE,250,19
17-03-2024,3,1,5,NILOUFER TEA,150,86,DOUBLE CHOCOCHIP,120,237,MASKA BUN,100,93,PINEAPPLE CAKE,111,21
17-03-2024,3,1,6,NILOUFER TEA,150,111,FRUIT BISCUIT,180,229,MALAI BUN,180,91,RASMALAI CAKE,250,12
17-03-2024,3,1,7,NILOUFER TEA,150,75,SALT BISCUIT,140,205,SANDWICH,120,115,CHOCLATE CAKE,320,26
17-03-2024,3,1,8,NILOUFER TEA,150,119,MELTING COOKIES,200,110,VEG HALEEM,320,73,CHOCO CHIPS CAKES,320,12
17-03-2024,3,1,9,NILOUFER TEA,150,115,ALMOND STICKS,400,126,ONION SAMOSA,50,60,ALMONDS CAKE,230,18
17-03-2024,3,1,10,NILOUFER TEA,150,105,MULTIGRAIN BISCUIT,210,256,FRENCHFRIES,250,129,BLUEBERRY CAKE,480,15
17-03-2024,3,1,11,NILOUFER TEA,150,99,OATS BISCUIT,125,287,CLASSIC PIZZA - S,100,78,RED VELVET PASTRY,111,12
17-03-2024,3,1,12,NILOUFER TEA,150,60,RAGI BISCUIT,230,285,BURGER,165,77,BELGIUM CHOCLATE PASTRY,159,29
17-03-2024,3,1,13,NILOUFER TEA,150,112,COCONUT BISCUIT,150,254,BUTTER CAKE,89,69,BLACK FOREST PASTRY,111,19
17-03-2024,3,1,14,NILOUFER TEA,150,64,FRUIT PREMIUM,500,221,BURGUR BUN,170,130,BRAZILIAN COFFEE PASTRY,159,30
17-03-2024,3,1,15,NILOUFER TEA,150,102,PALMIERS,170,255,VEG ROLL,45,136,OPERA PASTRY,169.9,15
17-03-2024,3,1,16,NILOUFER TEA,150,100,CHOCOCHIP OSMANIA,165,296,ALOO PARATHA,280,67,ENGLISH FRUIT CUSTURD,193,24
17-03-2024,3,1,17,NILOUFER TEA,150,104,PLAIN KHARI,175,183,PAV BAJI,69,138,PREMIUM BUTTERSCOCH,159,22
17-03-2024,3,1,18,NILOUFER TEA,150,60,DRY FRUIT PREMIUM,725,298,VEG STICKS,220,67,EGGLESS BUTTERSCOCH,360,15
17-03-2024,3,1,19,NILOUFER TEA,150,60,CHOCO ROCKS,320,209,PANNER PIZZA,320,121,EGGLESS CHOCOCHIP CAKE,410,24
17-03-2024,3,1,20,NILOUFER TEA,150,104,GHEE BUN,80,243,MUSHROOM WRAP,450,125,EGGLESS CHOCO TRUFFLE CAKE,520,25
17-03-2024,3,1,21,NILOUFER TEA,150,93,DUM KA ROAT,600,131,MASALA FRIES,250,125,EGGLESS RASMALAI CAKE,620,26
17-03-2024,3,1,22,NILOUFER TEA,150,84,ATTA BISCUIT,180,192,SWEET CORN,20,127,TIRAMISU PASTRY,160.9,11
17-03-2024,3,1,23,NILOUFER TEA,150,76,GHEE ALMOND,220,141,VADA PAV,180,96,SWISS ROCHER PASTRY,159,26
17-03-2024,3,1,24,NILOUFER TEA,150,79,OSMANIA CLASSIC,60,138,POPCORN,25,148,CHEESE CAKE,480,16
18-03-2024,3,2,1,NILOUFER TEA,150,95,OSMANIA PREMIUM,450,258,VEG PUFF,59,138,VANILLA CAKE,169,13
18-03-2024,3,2,2,NILOUFER TEA,150,114,BUTTER ALMOND,140,230,PANEER PUFF,69,73,BUTTERSCOCH CAKE,159,13
18-03-2024,3,2,3,NILOUFER TEA,150,61,DRY FRUIT,140,252,EGG PUFF,70,81,DRY FRUITS CAKE,220,13
18-03-2024,3,2,4,NILOUFER TEA,150,77,CHOCOCHIP,100,187,ALOO SAMOSA,45,127,STRAWBERRY CAKE,250,30
18-03-2024,3,2,5,NILOUFER TEA,150,114,DOUBLE CHOCOCHIP,120,111,MASKA BUN,100,112,PINEAPPLE CAKE,111,16
18-03-2024,3,2,6,NILOUFER TEA,150,74,FRUIT BISCUIT,180,164,MALAI BUN,180,62,RASMALAI CAKE,250,16
18-03-2024,3,2,7,NILOUFER TEA,150,58,SALT BISCUIT,140,132,SANDWICH,120,102,CHOCLATE CAKE,320,10
18-03-2024,3,2,8,NILOUFER TEA,150,86,MELTING COOKIES,200,255,VEG HALEEM,320,114,CHOCO CHIPS CAKES,320,23
18-03-2024,3,2,9,NILOUFER TEA,150,51,ALMOND STICKS,400,117,ONION SAMOSA,50,71,ALMONDS CAKE,230,23
18-03-2024,3,2,10,NILOUFER TEA,150,78,MULTIGRAIN BISCUIT,210,230,FRENCHFRIES,250,70,BLUEBERRY CAKE,480,11
18-03-2024,3,2,11,NILOUFER TEA,150,79,OATS BISCUIT,125,229,CLASSIC PIZZA - S,100,142,RED VELVET PASTRY,111,15
18-03-2024,3,2,12,NILOUFER TEA,150,51,RAGI BISCUIT,230,196,BURGER,165,77,BELGIUM CHOCLATE PASTRY,159,28
18-03-2024,3,2,13,NILOUFER TEA,150,85,COCONUT BISCUIT,150,140,BUTTER CAKE,89,95,BLACK FOREST PASTRY,111,18
18-03-2024,3,2,14,NILOUFER TEA,150,107,FRUIT PREMIUM,500,140,BURGUR BUN,170,147,BRAZILIAN COFFEE PASTRY,159,25
18-03-2024,3,2,15,NILOUFER TEA,150,92,PALMIERS,170,153,VEG ROLL,45,64,OPERA PASTRY,169.9,10
18-03-2024,3,2,16,NILOUFER TEA,150,106,CHOCOCHIP OSMANIA,165,173,ALOO PARATHA,280,124,ENGLISH FRUIT CUSTURD,193,26
18-03-2024,3,2,17,NILOUFER TEA,150,116,PLAIN KHARI,175,163,PAV BAJI,69,131,PREMIUM BUTTERSCOCH,159,13
18-03-2024,3,2,18,NILOUFER TEA,150,65,DRY FRUIT PREMIUM,725,287,VEG STICKS,220,145,EGGLESS BUTTERSCOCH,360,19
18-03-2024,3,2,19,NILOUFER TEA,150,90,CHOCO ROCKS,320,273,PANNER PIZZA,320,91,EGGLESS CHOCOCHIP CAKE,410,23
18-03-2024,3,2,20,NILOUFER TEA,150,81,GHEE BUN,80,127,MUSHROOM WRAP,450,123,EGGLESS CHOCO TRUFFLE CAKE,520,25
18-03-2024,3,2,21,NILOUFER TEA,150,95,DUM KA ROAT,600,249,MASALA FRIES,250,144,EGGLESS RASMALAI CAKE,620,20
18-03-2024,3,2,22,NILOUFER TEA,150,130,ATTA BISCUIT,180,297,SWEET CORN,20,84,TIRAMISU PASTRY,160.9,10
18-03-2024,3,2,23,NILOUFER TEA,150,81,GHEE ALMOND,220,129,VADA PAV,180,75,SWISS ROCHER PASTRY,159,13
18-03-2024,3,2,24,NILOUFER TEA,150,63,OSMANIA CLASSIC,60,278,POPCORN,25,93,CHEESE CAKE,480,28
19-03-2024,3,3,1,NILOUFER TEA,150,84,OSMANIA PREMIUM,450,185,VEG PUFF,59,109,VANILLA CAKE,169,15
19-03-2024,3,3,2,NILOUFER TEA,150,78,BUTTER ALMOND,140,201,PANEER PUFF,69,133,BUTTERSCOCH CAKE,159,15
19-03-2024,3,3,3,NILOUFER TEA,150,95,DRY FRUIT,140,139,EGG PUFF,70,138,DRY FRUITS CAKE,220,26
19-03-2024,3,3,4,NILOUFER TEA,150,128,CHOCOCHIP,100,100,ALOO SAMOSA,45,60,STRAWBERRY CAKE,250,16
19-03-2024,3,3,5,NILOUFER TEA,150,73,DOUBLE CHOCOCHIP,120,167,MASKA BUN,100,124,PINEAPPLE CAKE,111,13
19-03-2024,3,3,6,NILOUFER TEA,150,56,FRUIT BISCUIT,180,236,MALAI BUN,180,127,RASMALAI CAKE,250,12
19-03-2024,3,3,7,NILOUFER TEA,150,98,SALT BISCUIT,140,173,SANDWICH,120,99,CHOCLATE CAKE,320,16
19-03-2024,3,3,8,NILOUFER TEA,150,75,MELTING COOKIES,200,263,VEG HALEEM,320,82,CHOCO CHIPS CAKES,320,28
19-03-2024,3,3,9,NILOUFER TEA,150,102,ALMOND STICKS,400,276,ONION SAMOSA,50,118,ALMONDS CAKE,230,19
19-03-2024,3,3,10,NILOUFER TEA,150,115,MULTIGRAIN BISCUIT,210,147,FRENCHFRIES,250,133,BLUEBERRY CAKE,480,10
19-03-2024,3,3,11,NILOUFER TEA,150,65,OATS BISCUIT,125,275,CLASSIC PIZZA - S,100,98,RED VELVET PASTRY,111,15
19-03-2024,3,3,12,NILOUFER TEA,150,84,RAGI BISCUIT,230,256,BURGER,165,96,BELGIUM CHOCLATE PASTRY,159,19
19-03-2024,3,3,13,NILOUFER TEA,150,82,COCONUT BISCUIT,150,127,BUTTER CAKE,89,75,BLACK FOREST PASTRY,111,10
19-03-2024,3,3,14,NILOUFER TEA,150,130,FRUIT PREMIUM,500,123,BURGUR BUN,170,121,BRAZILIAN COFFEE PASTRY,159,19
19-03-2024,3,3,15,NILOUFER TEA,150,75,PALMIERS,170,194,VEG ROLL,45,117,OPERA PASTRY,169.9,12
19-03-2024,3,3,16,NILOUFER TEA,150,65,CHOCOCHIP OSMANIA,165,240,ALOO PARATHA,280,114,ENGLISH FRUIT CUSTURD,193,29
19-03-2024,3,3,17,NILOUFER TEA,150,118,PLAIN KHARI,175,262,PAV BAJI,69,136,PREMIUM BUTTERSCOCH,159,17
19-03-2024,3,3,18,NILOUFER TEA,150,53,DRY FRUIT PREMIUM,725,256,VEG STICKS,220,149,EGGLESS BUTTERSCOCH,360,16
19-03-2024,3,3,19,NILOUFER TEA,150,68,CHOCO ROCKS,320,261,PANNER PIZZA,320,94,EGGLESS CHOCOCHIP CAKE,410,22
19-03-2024,3,3,20,NILOUFER TEA,150,62,GHEE BUN,80,157,MUSHROOM WRAP,450,93,EGGLESS CHOCO TRUFFLE CAKE,520,28
19-03-2024,3,3,21,NILOUFER TEA,150,103,DUM KA ROAT,600,241,MASALA FRIES,250,144,EGGLESS RASMALAI CAKE,620,29
19-03-2024,3,3,22,NILOUFER TEA,150,73,ATTA BISCUIT,180,192,SWEET CORN,20,92,TIRAMISU PASTRY,160.9,25
19-03-2024,3,3,23,NILOUFER TEA,150,119,GHEE ALMOND,220,131,VADA PAV,180,86,SWISS ROCHER PASTRY,159,14
19-03-2024,3,3,24,NILOUFER TEA,150,68,OSMANIA CLASSIC,60,287,POPCORN,25,106,CHEESE CAKE,480,10
20-03-2024,3,4,1,NILOUFER TEA,150,128,OSMANIA PREMIUM,450,295,VEG PUFF,59,86,VANILLA CAKE,169,27
20-03-2024,3,4,2,NILOUFER TEA,150,84,BUTTER ALMOND,140,123,PANEER PUFF,69,61,BUTTERSCOCH CAKE,159,14
20-03-2024,3,4,3,NILOUFER TEA,150,53,DRY FRUIT,140,256,EGG PUFF,70,125,DRY FRUITS CAKE,220,27
20-03-2024,3,4,4,NILOUFER TEA,150,85,CHOCOCHIP,100,249,ALOO SAMOSA,45,116,STRAWBERRY CAKE,250,15
20-03-2024,3,4,5,NILOUFER TEA,150,109,DOUBLE CHOCOCHIP,120,110,MASKA BUN,100,91,PINEAPPLE CAKE,111,19
20-03-2024,3,4,6,NILOUFER TEA,150,81,FRUIT BISCUIT,180,145,MALAI BUN,180,137,RASMALAI CAKE,250,21
20-03-2024,3,4,7,NILOUFER TEA,150,108,SALT BISCUIT,140,276,SANDWICH,120,62,CHOCLATE CAKE,320,10
20-03-2024,3,4,8,NILOUFER TEA,150,106,MELTING COOKIES,200,290,VEG HALEEM,320,90,CHOCO CHIPS CAKES,320,22
20-03-2024,3,4,9,NILOUFER TEA,150,57,ALMOND STICKS,400,267,ONION SAMOSA,50,105,ALMONDS CAKE,230,16
20-03-2024,3,4,10,NILOUFER TEA,150,88,MULTIGRAIN BISCUIT,210,203,FRENCHFRIES,250,66,BLUEBERRY CAKE,480,29
20-03-2024,3,4,11,NILOUFER TEA,150,57,OATS BISCUIT,125,130,CLASSIC PIZZA - S,100,82,RED VELVET PASTRY,111,19
20-03-2024,3,4,12,NILOUFER TEA,150,121,RAGI BISCUIT,230,254,BURGER,165,90,BELGIUM CHOCLATE PASTRY,159,28
20-03-2024,3,4,13,NILOUFER TEA,150,59,COCONUT BISCUIT,150,184,BUTTER CAKE,89,99,BLACK FOREST PASTRY,111,22
20-03-2024,3,4,14,NILOUFER TEA,150,126,FRUIT PREMIUM,500,244,BURGUR BUN,170,136,BRAZILIAN COFFEE PASTRY,159,27
20-03-2024,3,4,15,NILOUFER TEA,150,114,PALMIERS,170,203,VEG ROLL,45,80,OPERA PASTRY,169.9,22
20-03-2024,3,4,16,NILOUFER TEA,150,53,CHOCOCHIP OSMANIA,165,166,ALOO PARATHA,280,121,ENGLISH FRUIT CUSTURD,193,14
20-03-2024,3,4,17,NILOUFER TEA,150,78,PLAIN KHARI,175,177,PAV BAJI,69,125,PREMIUM BUTTERSCOCH,159,18
20-03-2024,3,4,18,NILOUFER TEA,150,85,DRY FRUIT PREMIUM,725,295,VEG STICKS,220,114,EGGLESS BUTTERSCOCH,360,16
20-03-2024,3,4,19,NILOUFER TEA,150,123,CHOCO ROCKS,320,233,PANNER PIZZA,320,137,EGGLESS CHOCOCHIP CAKE,410,25
20-03-2024,3,4,20,NILOUFER TEA,150,124,GHEE BUN,80,219,MUSHROOM WRAP,450,80,EGGLESS CHOCO TRUFFLE CAKE,520,12
20-03-2024,3,4,21,NILOUFER TEA,150,67,DUM KA ROAT,600,182,MASALA FRIES,250,135,EGGLESS RASMALAI CAKE,620,21
20-03-2024,3,4,22,NILOUFER TEA,150,104,ATTA BISCUIT,180,103,SWEET CORN,20,93,TIRAMISU PASTRY,160.9,24
20-03-2024,3,4,23,NILOUFER TEA,150,100,GHEE ALMOND,220,272,VADA PAV,180,105,SWISS ROCHER PASTRY,159,30
20-03-2024,3,4,24,NILOUFER TEA,150,97,OSMANIA CLASSIC,60,228,POPCORN,25,91,CHEESE CAKE,480,25
21-03-2024,3,5,1,NILOUFER TEA,150,69,OSMANIA PREMIUM,450,234,VEG PUFF,59,84,VANILLA CAKE,169,18
21-03-2024,3,5,2,NILOUFER TEA,150,92,BUTTER ALMOND,140,175,PANEER PUFF,69,72,BUTTERSCOCH CAKE,159,27
21-03-2024,3,5,3,NILOUFER TEA,150,91,DRY FRUIT,140,175,EGG PUFF,70,134,DRY FRUITS CAKE,220,22
21-03-2024,3,5,4,NILOUFER TEA,150,84,CHOCOCHIP,100,176,ALOO SAMOSA,45,127,STRAWBERRY CAKE,250,29
21-03-2024,3,5,5,NILOUFER TEA,150,122,DOUBLE CHOCOCHIP,120,221,MASKA BUN,100,92,PINEAPPLE CAKE,111,28
21-03-2024,3,5,6,NILOUFER TEA,150,68,FRUIT BISCUIT,180,291,MALAI BUN,180,131,RASMALAI CAKE,250,24
21-03-2024,3,5,7,NILOUFER TEA,150,58,SALT BISCUIT,140,101,SANDWICH,120,128,CHOCLATE CAKE,320,23
21-03-2024,3,5,8,NILOUFER TEA,150,64,MELTING COOKIES,200,251,VEG HALEEM,320,143,CHOCO CHIPS CAKES,320,12
21-03-2024,3,5,9,NILOUFER TEA,150,127,ALMOND STICKS,400,102,ONION SAMOSA,50,148,ALMONDS CAKE,230,23
21-03-2024,3,5,10,NILOUFER TEA,150,108,MULTIGRAIN BISCUIT,210,288,FRENCHFRIES,250,91,BLUEBERRY CAKE,480,23
21-03-2024,3,5,11,NILOUFER TEA,150,118,OATS BISCUIT,125,272,CLASSIC PIZZA - S,100,146,RED VELVET PASTRY,111,27
21-03-2024,3,5,12,NILOUFER TEA,150,121,RAGI BISCUIT,230,251,BURGER,165,110,BELGIUM CHOCLATE PASTRY,159,15
21-03-2024,3,5,13,NILOUFER TEA,150,122,COCONUT BISCUIT,150,269,BUTTER CAKE,89,98,BLACK FOREST PASTRY,111,14
21-03-2024,3,5,14,NILOUFER TEA,150,66,FRUIT PREMIUM,500,246,BURGUR BUN,170,65,BRAZILIAN COFFEE PASTRY,159,16
21-03-2024,3,5,15,NILOUFER TEA,150,72,PALMIERS,170,297,VEG ROLL,45,147,OPERA PASTRY,169.9,18
21-03-2024,3,5,16,NILOUFER TEA,150,55,CHOCOCHIP OSMANIA,165,132,ALOO PARATHA,280,60,ENGLISH FRUIT CUSTURD,193,21
21-03-2024,3,5,17,NILOUFER TEA,150,61,PLAIN KHARI,175,194,PAV BAJI,69,101,PREMIUM BUTTERSCOCH,159,16
21-03-2024,3,5,18,NILOUFER TEA,150,62,DRY FRUIT PREMIUM,725,245,VEG STICKS,220,142,EGGLESS BUTTERSCOCH,360,19
21-03-2024,3,5,19,NILOUFER TEA,150,111,CHOCO ROCKS,320,123,PANNER PIZZA,320,132,EGGLESS CHOCOCHIP CAKE,410,12
21-03-2024,3,5,20,NILOUFER TEA,150,110,GHEE BUN,80,276,MUSHROOM WRAP,450,78,EGGLESS CHOCO TRUFFLE CAKE,520,11
21-03-2024,3,5,21,NILOUFER TEA,150,121,DUM KA ROAT,600,235,MASALA FRIES,250,80,EGGLESS RASMALAI CAKE,620,16
21-03-2024,3,5,22,NILOUFER TEA,150,66,ATTA BISCUIT,180,115,SWEET CORN,20,94,TIRAMISU PASTRY,160.9,26
21-03-2024,3,5,23,NILOUFER TEA,150,114,GHEE ALMOND,220,132,VADA PAV,180,143,SWISS ROCHER PASTRY,159,25
21-03-2024,3,5,24,NILOUFER TEA,150,113,OSMANIA CLASSIC,60,198,POPCORN,25,96,CHEESE CAKE,480,24
22-03-2024,3,6,1,NILOUFER TEA,150,51,OSMANIA PREMIUM,450,102,VEG PUFF,59,64,VANILLA CAKE,169,22
22-03-2024,3,6,2,NILOUFER TEA,150,77,BUTTER ALMOND,140,150,PANEER PUFF,69,150,BUTTERSCOCH CAKE,159,10
22-03-2024,3,6,3,NILOUFER TEA,150,99,DRY FRUIT,140,293,EGG PUFF,70,96,DRY FRUITS CAKE,220,17
22-03-2024,3,6,4,NILOUFER TEA,150,97,CHOCOCHIP,100,235,ALOO SAMOSA,45,83,STRAWBERRY CAKE,250,18
22-03-2024,3,6,5,NILOUFER TEA,150,69,DOUBLE CHOCOCHIP,120,257,MASKA BUN,100,116,PINEAPPLE CAKE,111,27
22-03-2024,3,6,6,NILOUFER TEA,150,95,FRUIT BISCUIT,180,123,MALAI BUN,180,131,RASMALAI CAKE,250,29
22-03-2024,3,6,7,NILOUFER TEA,150,86,SALT BISCUIT,140,152,SANDWICH,120,114,CHOCLATE CAKE,320,29
22-03-2024,3,6,8,NILOUFER TEA,150,53,MELTING COOKIES,200,120,VEG HALEEM,320,109,CHOCO CHIPS CAKES,320,27
22-03-2024,3,6,9,NILOUFER TEA,150,52,ALMOND STICKS,400,179,ONION SAMOSA,50,115,ALMONDS CAKE,230,16
22-03-2024,3,6,10,NILOUFER TEA,150,107,MULTIGRAIN BISCUIT,210,193,FRENCHFRIES,250,89,BLUEBERRY CAKE,480,14
22-03-2024,3,6,11,NILOUFER TEA,150,106,OATS BISCUIT,125,237,CLASSIC PIZZA - S,100,73,RED VELVET PASTRY,111,30
22-03-2024,3,6,12,NILOUFER TEA,150,88,RAGI BISCUIT,230,108,BURGER,165,132,BELGIUM CHOCLATE PASTRY,159,13
22-03-2024,3,6,13,NILOUFER TEA,150,104,COCONUT BISCUIT,150,166,BUTTER CAKE,89,62,BLACK FOREST PASTRY,111,30
22-03-2024,3,6,14,NILOUFER TEA,150,74,FRUIT PREMIUM,500,175,BURGUR BUN,170,60,BRAZILIAN COFFEE PASTRY,159,10
22-03-2024,3,6,15,NILOUFER TEA,150,114,PALMIERS,170,109,VEG ROLL,45,139,OPERA PASTRY,169.9,26
22-03-2024,3,6,16,NILOUFER TEA,150,115,CHOCOCHIP OSMANIA,165,241,ALOO PARATHA,280,64,ENGLISH FRUIT CUSTURD,193,13
22-03-2024,3,6,17,NILOUFER TEA,150,84,PLAIN KHARI,175,262,PAV BAJI,69,98,PREMIUM BUTTERSCOCH,159,14
22-03-2024,3,6,18,NILOUFER TEA,150,90,DRY FRUIT PREMIUM,725,233,VEG STICKS,220,81,EGGLESS BUTTERSCOCH,360,10
22-03-2024,3,6,19,NILOUFER TEA,150,108,CHOCO ROCKS,320,165,PANNER PIZZA,320,140,EGGLESS CHOCOCHIP CAKE,410,16
22-03-2024,3,6,20,NILOUFER TEA,150,104,GHEE BUN,80,129,MUSHROOM WRAP,450,130,EGGLESS CHOCO TRUFFLE CAKE,520,17
22-03-2024,3,6,21,NILOUFER TEA,150,78,DUM KA ROAT,600,201,MASALA FRIES,250,120,EGGLESS RASMALAI CAKE,620,21
22-03-2024,3,6,22,NILOUFER TEA,150,67,ATTA BISCUIT,180,207,SWEET CORN,20,64,TIRAMISU PASTRY,160.9,23
22-03-2024,3,6,23,NILOUFER TEA,150,93,GHEE ALMOND,220,103,VADA PAV,180,123,SWISS ROCHER PASTRY,159,26
22-03-2024,3,6,24,NILOUFER TEA,150,53,OSMANIA CLASSIC,60,141,POPCORN,25,88,CHEESE CAKE,480,30
23-03-2024,3,7,1,NILOUFER TEA,150,73,OSMANIA PREMIUM,450,243,VEG PUFF,59,65,VANILLA CAKE,169,18
23-03-2024,3,7,2,NILOUFER TEA,150,100,BUTTER ALMOND,140,121,PANEER PUFF,69,66,BUTTERSCOCH CAKE,159,30
23-03-2024,3,7,3,NILOUFER TEA,150,82,DRY FRUIT,140,283,EGG PUFF,70,83,DRY FRUITS CAKE,220,19
23-03-2024,3,7,4,NILOUFER TEA,150,75,CHOCOCHIP,100,136,ALOO SAMOSA,45,118,STRAWBERRY CAKE,250,30
23-03-2024,3,7,5,NILOUFER TEA,150,57,DOUBLE CHOCOCHIP,120,256,MASKA BUN,100,83,PINEAPPLE CAKE,111,23
23-03-2024,3,7,6,NILOUFER TEA,150,78,FRUIT BISCUIT,180,279,MALAI BUN,180,148,RASMALAI CAKE,250,29
